# strain sxx_GPa syy_GPa szz_GPa
2.00000000e-04 -1.04515800e-01 -2.88628155e-02 -4.73286077e-02
4.00000000e-04 4.68013876e-02 8.65851461e-02 7.19881656e-02
6.00000000e-04 -7.16781253e-02 -5.99367149e-02 -3.22313650e-02
8.00000000e-04 5.29505643e-02 5.56701260e-02 6.88662048e-02
1.00000000e-03 -1.62808548e-02 -5.59401705e-02 2.46166157e-02
1.20000000e-03 3.36487744e-02 5.00065112e-02 3.74794336e-02
1.40000000e-03 -2.01963271e-02 -3.20053835e-02 -2.13530459e-02
1.60000000e-03 2.68104311e-02 3.34028895e-02 2.82776390e-03
1.80000000e-03 -8.70870682e-03 -1.06084344e-02 -1.95360817e-02
2.00000000e-03 -2.34582934e-02 7.44721473e-02 6.08630994e-03
2.20000000e-03 -5.21818487e-03 -5.82626338e-03 -9.56622110e-03
2.40000000e-03 5.22360302e-02 3.39609293e-02 2.39476836e-02
2.60000000e-03 -5.06308793e-02 -5.85411473e-02 -1.25245507e-02
2.80000000e-03 -4.98036438e-03 3.59290599e-02 -3.01952125e-02
3.00000000e-03 -4.93600674e-02 1.09728901e-02 1.56372619e-02
3.20000000e-03 -9.30866681e-02 -8.20686065e-04 1.02416730e-02
3.40000000e-03 5.07441094e-03 3.63632440e-03 2.35219628e-02
3.60000000e-03 -5.15916067e-02 -6.59311910e-02 2.15643250e-02
3.80000000e-03 2.65210497e-02 4.35118715e-02 -1.40270826e-02
4.00000000e-03 -1.95254876e-02 -7.32405481e-03 -1.52400085e-02
4.20000000e-03 -3.60307934e-02 1.85332529e-02 4.36273304e-02
4.40000000e-03 3.44060185e-02 -2.88236435e-02 2.48765187e-03
4.60000000e-03 8.54914367e-02 3.18891401e-02 5.81556116e-02
4.80000000e-03 1.98637625e-02 7.82840804e-04 -9.44649403e-02
5.00000000e-03 2.21710392e-02 1.52461567e-02 -1.94894894e-02
5.20000000e-03 1.20349663e-05 -5.91226645e-02 -5.01380138e-02
5.40000000e-03 1.65728721e-02 1.21753985e-02 3.82542360e-02
5.60000000e-03 -2.78652827e-02 -1.71415797e-02 -3.33346598e-02
5.80000000e-03 -9.75073914e-03 -4.34703585e-02 2.11867548e-02
6.00000000e-03 3.24262019e-02 -1.59469068e-03 5.80215300e-03
6.20000000e-03 -1.25485456e-03 -9.36531037e-03 1.62875788e-02
6.40000000e-03 5.40180572e-02 -1.41626611e-02 -3.46835582e-02
6.60000000e-03 4.87670874e-02 -4.29212956e-03 3.24394791e-02
6.80000000e-03 2.34507401e-03 -2.45747844e-02 1.37575849e-02
7.00000000e-03 -6.34384716e-03 2.49730440e-02 -4.47042713e-02
7.20000000e-03 3.89270441e-04 -2.23453267e-02 2.13336914e-02
7.40000000e-03 2.56120942e-02 9.48937398e-03 1.57440885e-02
7.60000000e-03 -7.86588024e-02 -2.29702529e-02 3.64893648e-02
7.80000000e-03 -5.48128040e-02 4.85496154e-02 -7.25769487e-03
