# strain sxx_GPa syy_GPa szz_GPa
2.00000000e-04 1.13801015e-01 -1.39140037e-01 1.28105876e-01
4.00000000e-04 1.54978140e-01 6.27685042e-02 -8.20311549e-02
6.00000000e-04 1.58169191e-01 -2.96181019e-02 -1.66562491e-03
8.00000000e-04 1.23876029e-01 -1.87359713e-02 1.47363061e-02
1.00000000e-03 1.84931607e-01 3.34494420e-02 2.29381336e-02
1.20000000e-03 1.94520606e-01 5.41389085e-02 3.31504531e-02
1.40000000e-03 1.45966400e-01 5.19298880e-02 2.98544909e-02
1.60000000e-03 1.54961526e-01 3.92049514e-02 -1.22678453e-02
1.80000000e-03 1.13304159e-01 -2.09969369e-04 -2.08868799e-02
2.00000000e-03 9.78328930e-02 -3.95908177e-02 -3.52733140e-02
2.20000000e-03 1.58454894e-01 -2.73272458e-02 5.60710368e-02
2.40000000e-03 1.92049171e-01 5.39533684e-02 -2.28194752e-02
2.60000000e-03 2.13297431e-01 5.88313426e-02 -3.85734047e-03
2.80000000e-03 2.04244610e-01 -2.55479915e-02 3.56068357e-02
3.00000000e-03 2.61692708e-01 1.08677802e-02 -1.65707883e-02
3.20000000e-03 2.92399694e-01 -2.14147456e-02 -1.38893208e-02
3.40000000e-03 3.17154155e-01 -4.11434304e-02 -5.25907978e-03
3.60000000e-03 3.21579015e-01 -1.62171068e-02 -1.34777986e-02
3.80000000e-03 3.28820547e-01 4.75992335e-02 -3.80002859e-02
4.00000000e-03 3.42173924e-01 -8.52450856e-02 6.44076585e-02
4.20000000e-03 3.65283477e-01 2.75472987e-02 -3.83347014e-02
4.40000000e-03 2.15309070e-01 -7.32732751e-02 -2.40134183e-02
4.60000000e-03 3.41205953e-01 -2.32602394e-02 -3.31990388e-02
4.80000000e-03 3.73833515e-01 -4.58968488e-02 -4.62776217e-03
5.00000000e-03 4.21189666e-01 -1.67866063e-02 -3.61904507e-02
5.20000000e-03 4.18515288e-01 3.25153713e-02 -3.45519661e-02
5.40000000e-03 3.50839788e-01 -4.16159723e-02 1.39455600e-02
5.60000000e-03 3.54167037e-01 -1.87074218e-02 5.73704173e-03
5.80000000e-03 4.00159696e-01 7.58934901e-03 -4.60016744e-02
6.00000000e-03 3.73037565e-01 -5.22652924e-02 3.27932607e-02
6.20000000e-03 4.17861915e-01 3.37905162e-02 -1.22874103e-02
6.40000000e-03 4.33396668e-01 4.62254071e-03 1.56857971e-02
6.60000000e-03 4.24067901e-01 -6.39866483e-02 2.24704400e-02
6.80000000e-03 4.86536513e-01 -1.55318258e-02 -5.43471300e-02
7.00000000e-03 4.73150966e-01 -1.46359384e-02 -3.87517068e-02
7.20000000e-03 4.61472597e-01 -6.92335819e-02 -4.07444763e-02
7.40000000e-03 4.76534394e-01 5.20406591e-03 -4.61088829e-02
7.60000000e-03 4.41788967e-01 -6.43481870e-03 -8.44938418e-02
7.80000000e-03 4.45596222e-01 -3.10926599e-03 -3.88493636e-02
8.00000000e-03 4.56486694e-01 1.41432762e-02 -6.87406736e-02
8.20000000e-03 5.41609285e-01 -4.63771841e-02 -4.13360738e-02
8.40000000e-03 5.99661735e-01 -4.25629944e-02 3.42870521e-02
8.60000000e-03 4.99949366e-01 -8.89650131e-03 -5.40673525e-02
8.80000000e-03 5.15931271e-01 -7.20036900e-02 1.97645329e-02
9.00000000e-03 5.01817869e-01 -7.25120462e-02 -2.53601451e-02
9.20000000e-03 4.86974541e-01 -4.56746149e-02 -1.06376274e-01
9.40000000e-03 5.80523900e-01 -4.87135610e-02 -3.97463943e-02
9.60000000e-03 6.26769797e-01 -2.86976482e-02 -3.91192711e-02
9.80000000e-03 5.79328618e-01 -9.22585646e-02 -1.41773699e-02
1.00000000e-02 5.96779973e-01 -1.00069826e-02 -4.64816645e-02
1.02000000e-02 6.09942340e-01 -1.99886152e-03 -1.36209040e-02
1.04000000e-02 5.83158356e-01 -2.64194722e-02 2.63743425e-02
1.06000000e-02 5.77124491e-01 4.90273183e-02 -2.27699295e-02
