# strain sxx_GPa syy_GPa szz_GPa
1.72000000e-02 3.11871775e-01 -1.25891194e-02 2.28239301e-02
1.74000000e-02 3.40688213e-01 2.47567656e-02 6.54916486e-03
1.76000000e-02 2.70079867e-01 -1.57026374e-02 -1.71598808e-02
1.78000000e-02 2.88709318e-01 3.45097055e-02 -1.96778000e-02
1.80000000e-02 3.12950199e-01 1.08117798e-02 3.64059374e-02
1.82000000e-02 2.84628029e-01 -2.75195182e-02 -1.39604928e-03
1.84000000e-02 2.67388104e-01 -2.70711895e-02 -2.46834511e-02
1.86000000e-02 2.82464595e-01 -2.02528094e-02 1.14671749e-02
1.88000000e-02 2.79245744e-01 2.61109496e-02 -2.61046037e-02
1.90000000e-02 2.83823335e-01 -4.41437448e-02 1.74719542e-02
1.92000000e-02 2.45732688e-01 -2.87209872e-02 -5.10819639e-02
1.94000000e-02 3.11052438e-01 1.55197643e-02 -2.58217432e-02
1.96000000e-02 2.90434552e-01 -7.62990130e-03 2.88158955e-02
1.98000000e-02 2.68485967e-01 1.02803090e-02 -1.46726014e-02
2.00000000e-02 2.54840002e-01 -4.34819407e-02 -5.43276286e-02
2.02000000e-02 2.63523996e-01 -2.05912949e-02 -3.06794774e-02
2.04000000e-02 2.98888488e-01 -2.26729574e-02 3.88789870e-02
2.06000000e-02 3.69546003e-01 6.24879874e-02 2.73460121e-02
2.08000000e-02 3.13294175e-01 -3.34015606e-03 1.74667215e-02
2.10000000e-02 2.63500087e-01 -5.12911624e-02 -2.38073379e-02
2.12000000e-02 2.86627150e-01 1.16239607e-02 -4.90823928e-02
2.14000000e-02 2.80927184e-01 1.36807434e-02 5.91962316e-02
2.16000000e-02 2.90899540e-01 2.09655186e-02 1.44322325e-02
2.18000000e-02 2.37463328e-01 -4.76084815e-02 -6.39933309e-02
2.20000000e-02 2.61481315e-01 -5.63693997e-02 -4.73378344e-02
2.22000000e-02 2.96792830e-01 2.43032621e-02 8.49386371e-03
2.24000000e-02 3.01209282e-01 8.33863487e-03 1.92783621e-02
2.26000000e-02 2.90857585e-01 4.43611539e-04 4.10540343e-03
2.28000000e-02 3.18041682e-01 -6.72156992e-03 2.71407937e-02
2.30000000e-02 3.13497879e-01 2.57411590e-02 -1.30356857e-02
2.32000000e-02 2.99025293e-01 -3.39002952e-02 1.81233281e-02
2.34000000e-02 3.10313905e-01 -3.28022621e-03 -5.98434116e-03
2.36000000e-02 3.08188458e-01 8.27060871e-04 3.60906087e-03
2.38000000e-02 2.81759885e-01 -2.13390210e-02 6.78421556e-03
2.40000000e-02 2.64648939e-01 -2.70295710e-02 -5.64567596e-02
2.42000000e-02 2.99247818e-01 -2.24448891e-02 1.92938808e-02
2.44000000e-02 3.23655524e-01 5.43600081e-02 -1.82221344e-02
2.46000000e-02 3.25266496e-01 6.33758939e-03 3.36093900e-02
2.48000000e-02 3.47308362e-01 1.04200159e-02 4.70470966e-02
2.50000000e-02 3.22585866e-01 -1.19547219e-02 -1.63484938e-02
2.52000000e-02 2.71306126e-01 -2.66299121e-02 -4.82963345e-02
2.54000000e-02 3.23556102e-01 -1.81236033e-02 1.27776719e-02
2.56000000e-02 3.07696055e-01 3.37680588e-02 8.82116133e-03
