# strain sxx_GPa syy_GPa szz_GPa
2.00000000e-04 1.45265660e-01 2.85901926e-02 1.05082985e-01
4.00000000e-04 9.04798050e-02 -1.01220495e-03 -6.48202477e-02
6.00000000e-04 1.42705366e-01 3.50819569e-02 1.21856679e-02
8.00000000e-04 3.15484459e-01 -3.15399999e-02 8.41945160e-02
1.00000000e-03 1.31850383e-01 -1.24663348e-02 -1.28312640e-01
1.20000000e-03 2.13249828e-01 -2.36828156e-03 7.49149162e-02
1.40000000e-03 2.50186398e-01 3.35702339e-02 5.15020295e-02
1.60000000e-03 1.75249021e-01 1.83155860e-02 -3.80397937e-02
1.80000000e-03 1.92523070e-01 9.14902810e-03 -2.55615723e-02
2.00000000e-03 1.38997635e-01 -6.25983989e-02 3.82851992e-02
2.20000000e-03 2.62234591e-01 3.29516956e-02 -1.74864507e-02
2.40000000e-03 2.57473066e-01 4.22253010e-02 3.19181903e-02
2.60000000e-03 2.97447320e-01 -6.46860247e-02 -3.54071020e-02
2.80000000e-03 3.28503397e-01 1.27329362e-02 6.73107662e-03
3.00000000e-03 4.07718976e-01 8.10157011e-02 -1.77079372e-03
3.20000000e-03 3.32036196e-01 -1.47080391e-01 -4.54639604e-02
3.40000000e-03 3.70795975e-01 5.42525809e-02 -9.82954566e-02
3.60000000e-03 3.20792832e-01 -1.84888643e-02 3.12890175e-02
3.80000000e-03 2.69891760e-01 2.61651645e-02 -6.58783439e-02
4.00000000e-03 4.15471413e-01 1.38533734e-02 7.25576775e-02
4.20000000e-03 3.82151461e-01 4.56147038e-02 3.15025476e-02
4.40000000e-03 2.31265035e-01 -5.22730645e-02 -1.27673542e-01
4.60000000e-03 4.09535559e-01 4.18243262e-02 6.71496611e-02
4.80000000e-03 4.08497091e-01 1.92428839e-02 -5.78633305e-02
5.00000000e-03 4.65758360e-01 -3.77701123e-02 2.13819382e-02
5.20000000e-03 4.75716404e-01 3.95956248e-02 1.67680879e-02
5.40000000e-03 4.03084101e-01 -1.97138954e-02 -4.33324863e-02
5.60000000e-03 5.18265012e-01 7.24692083e-03 -3.05283537e-02
5.80000000e-03 4.36961893e-01 -5.20969968e-02 1.13571398e-02
6.00000000e-03 4.73430214e-01 4.54995811e-02 -9.99814681e-03
6.20000000e-03 4.71722176e-01 3.24768375e-02 -7.37865711e-02
6.40000000e-03 5.20291656e-01 -1.31199979e-02 -5.44441444e-03
6.60000000e-03 5.25314600e-01 2.08896719e-02 3.62765155e-02
6.80000000e-03 5.64755153e-01 -5.49829192e-02 -2.50823754e-02
7.00000000e-03 5.61738451e-01 -1.56947879e-03 -2.35460314e-02
7.20000000e-03 5.83725580e-01 3.65851498e-02 4.32908222e-02
7.40000000e-03 5.71273621e-01 1.11098401e-01 -8.86636896e-03
7.60000000e-03 4.33819856e-01 -1.22748963e-01 2.59674585e-02
7.80000000e-03 5.64580467e-01 5.86496530e-02 -4.31902162e-03
8.00000000e-03 5.50649473e-01 -3.57787662e-02 7.08118656e-02
8.20000000e-03 4.86976944e-01 -8.08107835e-02 -7.38338721e-02
8.40000000e-03 6.48367063e-01 7.65526587e-02 2.53048491e-02
8.60000000e-03 5.28391548e-01 -6.11272758e-03 -4.27213287e-02
8.80000000e-03 6.54885860e-01 -5.54876210e-03 2.19218637e-03
9.00000000e-03 5.73553374e-01 1.03174248e-02 1.96032282e-02
9.20000000e-03 5.81809932e-01 5.89958182e-02 -1.75060495e-03
9.40000000e-03 5.88098974e-01 -8.52557106e-02 5.15795725e-02
9.60000000e-03 5.68538922e-01 -9.49431474e-03 -1.91554256e-01
9.80000000e-03 6.47187144e-01 -2.25313973e-02 9.47387649e-02
1.00000000e-02 6.60609377e-01 6.74918235e-02 -2.44384242e-02
1.02000000e-02 6.69416622e-01 -1.14212069e-01 -3.06970711e-03
1.04000000e-02 6.08996924e-01 1.44884727e-01 1.28452648e-02
1.06000000e-02 6.23788411e-01 1.00667192e-02 9.78798094e-02
1.08000000e-02 6.01161537e-01 5.12249401e-02 8.30012195e-03
1.10000000e-02 6.68616766e-01 2.95847883e-02 7.16345436e-02
1.12000000e-02 6.44065143e-01 -3.18801787e-02 -1.31094852e-01
1.14000000e-02 6.10641444e-01 -3.26250798e-02 -8.91439370e-03
1.16000000e-02 7.01966170e-01 8.48909852e-02 8.18057030e-02
1.18000000e-02 6.19867832e-01 -6.11631958e-02 -8.67989211e-02
1.20000000e-02 7.47265030e-01 -5.55045851e-02 9.10578144e-02
1.22000000e-02 7.21011442e-01 8.58312051e-02 -1.02406723e-02
1.24000000e-02 7.64354225e-01 -6.38933061e-02 9.51388541e-03
1.26000000e-02 7.41281719e-01 -5.41750758e-02 3.64033435e-03
1.28000000e-02 6.76806888e-01 4.12459295e-03 1.53491327e-02
1.30000000e-02 7.25770211e-01 3.30690436e-02 1.61324158e-03
1.32000000e-02 8.01302838e-01 6.04707620e-02 6.40858270e-03
1.34000000e-02 7.91016832e-01 -1.89588885e-02 2.30176180e-02
1.36000000e-02 8.01194821e-01 5.45414587e-02 -8.34838207e-03
1.38000000e-02 9.00290132e-01 9.84475528e-02 5.78841210e-02
1.40000000e-02 8.32850856e-01 5.41470625e-02 -6.13715492e-02
1.42000000e-02 8.28931016e-01 1.45717400e-02 5.34007566e-02
1.44000000e-02 8.98570429e-01 -1.62239010e-02 3.94598499e-02
1.46000000e-02 7.19489155e-01 -3.07258688e-03 -1.21542829e-01
1.48000000e-02 7.50813884e-01 -2.88929481e-02 4.55180101e-02
1.50000000e-02 8.64977490e-01 3.39513642e-02 5.22643252e-02
1.52000000e-02 7.12340158e-01 -1.16918754e-01 -3.51642396e-02
