# strain  sxx_GPa
2.00000000e-04 2.81626084e-02
4.00000000e-04 6.18996405e-02
6.00000000e-04 7.81342133e-02
8.00000000e-04 8.95572863e-02
1.00000000e-03 9.01347657e-02
1.20000000e-03 1.00010343e-01
1.40000000e-03 1.30976503e-01
1.60000000e-03 1.64165267e-01
1.80000000e-03 1.86883375e-01
2.00000000e-03 1.83490770e-01
2.20000000e-03 1.83480316e-01
2.40000000e-03 1.82476584e-01
2.60000000e-03 1.83657566e-01
2.80000000e-03 2.04047118e-01
3.00000000e-03 2.34632542e-01
3.20000000e-03 2.57259052e-01
3.40000000e-03 2.81386526e-01
3.60000000e-03 2.99200493e-01
3.80000000e-03 3.21204426e-01
4.00000000e-03 3.47598159e-01
4.20000000e-03 3.73089954e-01
4.40000000e-03 3.94400542e-01
4.60000000e-03 4.19217672e-01
4.80000000e-03 4.40297394e-01
5.00000000e-03 4.48893461e-01
5.20000000e-03 4.66654606e-01
5.40000000e-03 4.77930909e-01
5.60000000e-03 4.81323126e-01
5.80000000e-03 4.78494623e-01
6.00000000e-03 4.76942345e-01
6.20000000e-03 4.89237844e-01
6.40000000e-03 5.01136679e-01
6.60000000e-03 5.21237502e-01
6.80000000e-03 5.27703701e-01
7.00000000e-03 5.36889090e-01
7.20000000e-03 5.44248422e-01
7.40000000e-03 5.52806462e-01
7.60000000e-03 5.65370103e-01
7.80000000e-03 5.82844755e-01
8.00000000e-03 5.98568888e-01
8.20000000e-03 6.05348020e-01
8.40000000e-03 6.17418085e-01
8.60000000e-03 6.36131600e-01
8.80000000e-03 6.47910258e-01
9.00000000e-03 6.59316919e-01
9.20000000e-03 6.77629599e-01
9.40000000e-03 6.90145584e-01
9.60000000e-03 7.05344197e-01
9.80000000e-03 7.11140370e-01
1.00000000e-02 7.20326979e-01
1.02000000e-02 7.33323839e-01
1.04000000e-02 7.45695252e-01
1.06000000e-02 7.58009739e-01
1.08000000e-02 7.70090182e-01
1.10000000e-02 7.87614065e-01
1.12000000e-02 8.05502672e-01
1.14000000e-02 8.20351765e-01
1.16000000e-02 8.40504465e-01
1.18000000e-02 8.62462967e-01
1.20000000e-02 8.80916062e-01
1.22000000e-02 8.89465699e-01
1.24000000e-02 8.88948099e-01
1.26000000e-02 8.93223885e-01
1.28000000e-02 9.10501060e-01
1.30000000e-02 9.33734722e-01
1.32000000e-02 9.36706863e-01
1.34000000e-02 9.35952562e-01
1.36000000e-02 9.46511411e-01
1.38000000e-02 9.66336674e-01
1.40000000e-02 9.78965700e-01
1.42000000e-02 9.83346081e-01
1.44000000e-02 1.00133613e+00
1.46000000e-02 1.01114393e+00
1.48000000e-02 1.01717144e+00
1.50000000e-02 1.04022450e+00
1.52000000e-02 1.06299803e+00
1.54000000e-02 1.08388184e+00
1.56000000e-02 1.08683273e+00
1.58000000e-02 1.09338949e+00
1.60000000e-02 1.10709497e+00
1.62000000e-02 1.12709862e+00
1.64000000e-02 1.13752415e+00
1.66000000e-02 1.14315582e+00
1.68000000e-02 1.13511667e+00
1.70000000e-02 1.12432712e+00
1.72000000e-02 1.12735446e+00
1.74000000e-02 1.16280630e+00
1.76000000e-02 1.18577985e+00
1.78000000e-02 1.20392528e+00
1.80000000e-02 1.21062748e+00
1.82000000e-02 1.21784278e+00
1.84000000e-02 1.21597156e+00
1.86000000e-02 1.21837406e+00
1.88000000e-02 1.23179121e+00
1.90000000e-02 1.23781419e+00
1.92000000e-02 1.24776006e+00
1.94000000e-02 1.25488090e+00
1.96000000e-02 1.27215146e+00
1.98000000e-02 1.27729423e+00
2.00000000e-02 1.28416308e+00
2.02000000e-02 1.28303617e+00
2.04000000e-02 1.29053318e+00
2.06000000e-02 1.30807976e+00
2.08000000e-02 1.32974940e+00
2.10000000e-02 1.34718454e+00
2.12000000e-02 1.36494538e+00
2.14000000e-02 1.38168834e+00
2.16000000e-02 1.38659522e+00
2.18000000e-02 1.39692541e+00
2.20000000e-02 1.40957477e+00
2.22000000e-02 1.43186358e+00
2.24000000e-02 1.44818978e+00
2.26000000e-02 1.45866884e+00
2.28000000e-02 1.47087631e+00
2.30000000e-02 1.47233447e+00
2.32000000e-02 1.46517056e+00
2.34000000e-02 1.47984806e+00
2.36000000e-02 1.50220385e+00
2.38000000e-02 1.50669967e+00
2.40000000e-02 1.52114038e+00
2.42000000e-02 1.53062287e+00
2.44000000e-02 1.53840424e+00
2.46000000e-02 1.54451262e+00
2.48000000e-02 1.56162108e+00
2.50000000e-02 1.58163929e+00
2.52000000e-02 1.59698125e+00
2.54000000e-02 1.59932392e+00
2.56000000e-02 1.60332714e+00
2.58000000e-02 1.61672777e+00
2.60000000e-02 1.63592642e+00
2.62000000e-02 1.63802708e+00
2.64000000e-02 1.63886689e+00
2.66000000e-02 1.65040038e+00
2.68000000e-02 1.65669623e+00
2.70000000e-02 1.67699348e+00
2.72000000e-02 1.69492480e+00
2.74000000e-02 1.71791990e+00
2.76000000e-02 1.73497343e+00
2.78000000e-02 1.74838157e+00
2.80000000e-02 1.76703694e+00
2.82000000e-02 1.77080404e+00
2.84000000e-02 1.76462209e+00
2.86000000e-02 1.76577992e+00
2.88000000e-02 1.76891438e+00
2.90000000e-02 1.77303098e+00
2.92000000e-02 1.78449507e+00
2.94000000e-02 1.80968855e+00
2.96000000e-02 1.82231143e+00
2.98000000e-02 1.82792654e+00
3.00000000e-02 1.83084599e+00
3.02000000e-02 1.84247779e+00
