# strain  sxx_GPa
2.00000000e-04 -1.04515800e-01
4.00000000e-04 4.68013876e-02
6.00000000e-04 -7.16781253e-02
8.00000000e-04 5.29505643e-02
1.00000000e-03 -1.62808548e-02
1.20000000e-03 3.36487744e-02
1.40000000e-03 -2.01963271e-02
1.60000000e-03 2.68104311e-02
1.80000000e-03 -8.70870682e-03
2.00000000e-03 -2.34582934e-02
2.20000000e-03 -5.21818487e-03
2.40000000e-03 5.22360302e-02
2.60000000e-03 -5.06308793e-02
2.80000000e-03 -4.98036438e-03
3.00000000e-03 -4.93600674e-02
3.20000000e-03 -9.30866681e-02
3.40000000e-03 5.07441094e-03
3.60000000e-03 -5.15916067e-02
3.80000000e-03 2.65210497e-02
4.00000000e-03 -1.95254876e-02
4.20000000e-03 -3.60307934e-02
4.40000000e-03 3.44060185e-02
4.60000000e-03 8.54914367e-02
4.80000000e-03 1.98637625e-02
5.00000000e-03 2.21710392e-02
5.20000000e-03 1.20349663e-05
5.40000000e-03 1.65728721e-02
5.60000000e-03 -2.78652827e-02
5.80000000e-03 -9.75073914e-03
6.00000000e-03 3.24262019e-02
6.20000000e-03 -1.25485456e-03
6.40000000e-03 5.40180572e-02
6.60000000e-03 4.87670874e-02
6.80000000e-03 2.34507401e-03
7.00000000e-03 -6.34384716e-03
7.20000000e-03 3.89270441e-04
7.40000000e-03 2.56120942e-02
7.60000000e-03 -7.86588024e-02
7.80000000e-03 -5.48128040e-02
8.00000000e-03 -4.30281143e-02
8.20000000e-03 -3.46770159e-02
8.40000000e-03 9.18239585e-03
8.60000000e-03 1.29433961e-02
8.80000000e-03 -8.22540550e-02
9.00000000e-03 -1.81081557e-02
9.20000000e-03 -1.54274229e-02
9.40000000e-03 5.48833878e-02
9.60000000e-03 5.52317161e-03
9.80000000e-03 1.23417325e-02
1.00000000e-02 9.83918942e-03
1.02000000e-02 -2.98770419e-02
1.04000000e-02 3.16766098e-03
1.06000000e-02 -1.51941201e-02
1.08000000e-02 -4.93952929e-02
1.10000000e-02 3.54470996e-02
1.12000000e-02 -5.64252945e-03
1.14000000e-02 2.91982301e-02
1.16000000e-02 1.65512225e-03
1.18000000e-02 1.98957842e-02
1.20000000e-02 -8.29977552e-02
1.22000000e-02 7.78403009e-02
1.24000000e-02 -1.05295996e-01
1.26000000e-02 7.41571599e-02
1.28000000e-02 -3.81129077e-02
1.30000000e-02 6.93646606e-02
1.32000000e-02 -5.71738999e-02
1.34000000e-02 1.26558490e-01
1.36000000e-02 -7.00407433e-02
1.38000000e-02 1.31212971e-01
1.40000000e-02 -1.57666668e-02
1.42000000e-02 3.02864915e-02
1.44000000e-02 1.53909233e-03
1.46000000e-02 5.25868329e-02
1.48000000e-02 -1.71279079e-03
1.50000000e-02 7.87103285e-02
1.52000000e-02 -5.74524729e-02
1.54000000e-02 9.14165218e-02
1.56000000e-02 -6.05271857e-02
1.58000000e-02 5.37651434e-02
1.60000000e-02 -1.78160394e-02
1.62000000e-02 -3.05782454e-02
1.64000000e-02 5.72431925e-02
1.66000000e-02 7.43130463e-02
1.68000000e-02 3.76918135e-02
1.70000000e-02 -1.03500899e-03
1.72000000e-02 1.16625020e-02
1.74000000e-02 3.83431414e-02
1.76000000e-02 -4.73544790e-03
1.78000000e-02 -2.13875728e-02
1.80000000e-02 -9.90459910e-03
1.82000000e-02 -5.88087936e-02
1.84000000e-02 -9.37038507e-03
1.86000000e-02 1.84376060e-02
1.88000000e-02 2.27684385e-03
1.90000000e-02 -6.07785387e-02
1.92000000e-02 4.68642622e-03
1.94000000e-02 -8.33083521e-02
1.96000000e-02 1.55283888e-03
1.98000000e-02 -8.20928131e-03
2.00000000e-02 3.96189623e-03
2.02000000e-02 1.51341580e-02
2.04000000e-02 1.06166707e-02
2.06000000e-02 -3.64000643e-02
2.08000000e-02 -8.05661110e-04
2.10000000e-02 1.41406927e-02
2.12000000e-02 3.93857381e-02
2.14000000e-02 -4.22519466e-02
2.16000000e-02 6.95970337e-02
2.18000000e-02 5.53694468e-02
2.20000000e-02 1.48279040e-02
2.22000000e-02 1.55041408e-03
2.24000000e-02 2.69134257e-02
2.26000000e-02 5.63928786e-03
2.28000000e-02 -4.33522782e-03
2.30000000e-02 2.79888124e-02
2.32000000e-02 3.32818868e-03
2.34000000e-02 4.82902841e-02
2.36000000e-02 1.17109283e-02
2.38000000e-02 -1.78655967e-02
2.40000000e-02 -4.17079345e-03
2.42000000e-02 -3.24729437e-02
2.44000000e-02 1.81364988e-02
2.46000000e-02 -1.44101766e-02
2.48000000e-02 4.76176176e-02
2.50000000e-02 5.66044305e-02
2.52000000e-02 2.44862048e-02
2.54000000e-02 -4.25596145e-02
2.56000000e-02 2.63419372e-02
2.58000000e-02 2.39380458e-04
2.60000000e-02 -1.80802509e-02
2.62000000e-02 1.59784730e-02
2.64000000e-02 -1.72521290e-02
2.66000000e-02 -1.65654091e-02
2.68000000e-02 -4.65120843e-02
2.70000000e-02 2.05833803e-02
2.72000000e-02 -5.73584996e-02
2.74000000e-02 2.56954008e-02
2.76000000e-02 -8.12333903e-02
2.78000000e-02 1.17235750e-02
2.80000000e-02 -4.69516246e-02
2.82000000e-02 3.55663736e-02
2.84000000e-02 -1.65946028e-02
2.86000000e-02 2.75356036e-02
2.88000000e-02 1.40360228e-02
2.90000000e-02 4.01471227e-02
2.92000000e-02 6.92744468e-05
2.94000000e-02 -1.02365235e-01
2.96000000e-02 1.95623152e-02
2.98000000e-02 -1.53150724e-02
3.00000000e-02 5.29806285e-03
3.02000000e-02 -2.14540757e-02
