# strain  sxx_GPa
2.00000000e-04 1.13801015e-01
4.00000000e-04 1.54978140e-01
6.00000000e-04 1.58169191e-01
8.00000000e-04 1.23876029e-01
1.00000000e-03 1.84931607e-01
1.20000000e-03 1.94520606e-01
1.40000000e-03 1.45966400e-01
1.60000000e-03 1.54961526e-01
1.80000000e-03 1.13304159e-01
2.00000000e-03 9.78328930e-02
2.20000000e-03 1.58454894e-01
2.40000000e-03 1.92049171e-01
2.60000000e-03 2.13297431e-01
2.80000000e-03 2.04244610e-01
3.00000000e-03 2.61692708e-01
3.20000000e-03 2.92399694e-01
3.40000000e-03 3.17154155e-01
3.60000000e-03 3.21579015e-01
3.80000000e-03 3.28820547e-01
4.00000000e-03 3.42173924e-01
4.20000000e-03 3.65283477e-01
4.40000000e-03 2.15309070e-01
4.60000000e-03 3.41205953e-01
4.80000000e-03 3.73833515e-01
5.00000000e-03 4.21189666e-01
5.20000000e-03 4.18515288e-01
5.40000000e-03 3.50839788e-01
5.60000000e-03 3.54167037e-01
5.80000000e-03 4.00159696e-01
6.00000000e-03 3.73037565e-01
6.20000000e-03 4.17861915e-01
6.40000000e-03 4.33396668e-01
6.60000000e-03 4.24067901e-01
6.80000000e-03 4.86536513e-01
7.00000000e-03 4.73150966e-01
7.20000000e-03 4.61472597e-01
7.40000000e-03 4.76534394e-01
7.60000000e-03 4.41788967e-01
7.80000000e-03 4.45596222e-01
8.00000000e-03 4.56486694e-01
8.20000000e-03 5.41609285e-01
8.40000000e-03 5.99661735e-01
8.60000000e-03 4.99949366e-01
8.80000000e-03 5.15931271e-01
9.00000000e-03 5.01817869e-01
9.20000000e-03 4.86974541e-01
9.40000000e-03 5.80523900e-01
9.60000000e-03 6.26769797e-01
9.80000000e-03 5.79328618e-01
1.00000000e-02 5.96779973e-01
1.02000000e-02 6.09942340e-01
1.04000000e-02 5.83158356e-01
1.06000000e-02 5.77124491e-01
1.08000000e-02 6.11518652e-01
1.10000000e-02 6.06509950e-01
1.12000000e-02 7.52790928e-01
1.14000000e-02 6.78491995e-01
1.16000000e-02 6.45893473e-01
1.18000000e-02 6.28466428e-01
1.20000000e-02 5.89307801e-01
1.22000000e-02 6.51339792e-01
1.24000000e-02 6.60652433e-01
1.26000000e-02 6.86869078e-01
1.28000000e-02 7.18995713e-01
1.30000000e-02 6.95527050e-01
1.32000000e-02 6.70655520e-01
1.34000000e-02 7.89252672e-01
1.36000000e-02 7.75860781e-01
1.38000000e-02 7.65379066e-01
1.40000000e-02 7.76462361e-01
1.42000000e-02 7.74052403e-01
1.44000000e-02 7.92687157e-01
1.46000000e-02 7.78743197e-01
1.48000000e-02 8.45370126e-01
1.50000000e-02 7.63310658e-01
1.52000000e-02 8.54426443e-01
1.54000000e-02 7.54171899e-01
1.56000000e-02 8.00425966e-01
1.58000000e-02 7.88731118e-01
1.60000000e-02 8.20805110e-01
1.62000000e-02 7.95915722e-01
1.64000000e-02 8.42804539e-01
1.66000000e-02 8.55698147e-01
1.68000000e-02 9.28389911e-01
1.70000000e-02 8.96537348e-01
1.72000000e-02 8.82101826e-01
1.74000000e-02 9.33629416e-01
1.76000000e-02 9.48827085e-01
1.78000000e-02 8.90786593e-01
1.80000000e-02 9.85566441e-01
1.82000000e-02 9.34768270e-01
1.84000000e-02 9.08056535e-01
1.86000000e-02 9.13761401e-01
1.88000000e-02 8.85242576e-01
1.90000000e-02 8.53637512e-01
1.92000000e-02 8.89561484e-01
1.94000000e-02 8.94912724e-01
1.96000000e-02 8.58294093e-01
1.98000000e-02 8.84356537e-01
2.00000000e-02 9.31314038e-01
2.02000000e-02 9.83256787e-01
2.04000000e-02 9.25608568e-01
2.06000000e-02 9.81490157e-01
2.08000000e-02 9.97978795e-01
2.10000000e-02 9.46905858e-01
2.12000000e-02 9.91514304e-01
2.14000000e-02 1.05351005e+00
2.16000000e-02 1.00266584e+00
2.18000000e-02 9.89904437e-01
2.20000000e-02 1.06685767e+00
2.22000000e-02 1.03280137e+00
2.24000000e-02 1.07863118e+00
2.26000000e-02 1.12374585e+00
2.28000000e-02 1.08231881e+00
2.30000000e-02 1.13918916e+00
2.32000000e-02 1.14024984e+00
2.34000000e-02 1.16629465e+00
2.36000000e-02 1.10417555e+00
2.38000000e-02 1.04061644e+00
2.40000000e-02 1.01184287e+00
2.42000000e-02 1.03111082e+00
2.44000000e-02 1.04699179e+00
2.46000000e-02 1.09161730e+00
2.48000000e-02 1.15943235e+00
2.50000000e-02 1.14406859e+00
2.52000000e-02 1.15471213e+00
2.54000000e-02 1.17993415e+00
2.56000000e-02 1.15061779e+00
2.58000000e-02 1.15539737e+00
2.60000000e-02 1.09675959e+00
2.62000000e-02 1.12611108e+00
2.64000000e-02 1.20648107e+00
2.66000000e-02 1.18608786e+00
2.68000000e-02 1.17651362e+00
2.70000000e-02 1.16461166e+00
2.72000000e-02 1.25523222e+00
2.74000000e-02 1.18501555e+00
2.76000000e-02 1.17330632e+00
2.78000000e-02 1.21557312e+00
2.80000000e-02 1.24288978e+00
2.82000000e-02 1.20903191e+00
2.84000000e-02 1.20673641e+00
2.86000000e-02 1.22676142e+00
2.88000000e-02 1.19021739e+00
2.90000000e-02 1.21771593e+00
2.92000000e-02 1.24448378e+00
2.94000000e-02 1.28990942e+00
2.96000000e-02 1.26877804e+00
2.98000000e-02 1.31131477e+00
3.00000000e-02 1.30405711e+00
3.02000000e-02 1.31958097e+00
