# strain  sxx_GPa
2.00000000e-04 -1.79053261e-02
4.00000000e-04 3.42873830e-02
6.00000000e-04 6.58658153e-02
8.00000000e-04 8.72139819e-02
1.00000000e-03 1.15582447e-02
1.20000000e-03 3.29912622e-02
1.40000000e-03 7.66605457e-02
1.60000000e-03 4.68752138e-02
1.80000000e-03 9.08702091e-02
2.00000000e-03 1.00430864e-01
2.20000000e-03 1.24369730e-01
2.40000000e-03 9.40907630e-02
2.60000000e-03 5.31189555e-02
2.80000000e-03 5.80592507e-02
3.00000000e-03 6.03074660e-02
3.20000000e-03 8.57393312e-02
3.40000000e-03 1.27763511e-01
3.60000000e-03 1.05576660e-01
3.80000000e-03 1.19812126e-01
4.00000000e-03 1.25630729e-01
4.20000000e-03 1.09012187e-01
4.40000000e-03 9.15929804e-02
4.60000000e-03 1.08272890e-01
4.80000000e-03 1.41301818e-01
5.00000000e-03 7.58733595e-02
5.20000000e-03 1.11366891e-01
5.40000000e-03 1.18288703e-01
5.60000000e-03 6.19790125e-02
5.80000000e-03 1.23190669e-01
6.00000000e-03 1.72801376e-01
6.20000000e-03 1.05358473e-01
6.40000000e-03 1.32563242e-01
6.60000000e-03 1.64312689e-01
6.80000000e-03 1.95055375e-01
7.00000000e-03 1.32969695e-01
7.20000000e-03 1.23894542e-01
7.40000000e-03 1.22562917e-01
7.60000000e-03 1.71114057e-01
7.80000000e-03 1.52329816e-01
8.00000000e-03 1.27239403e-01
8.20000000e-03 1.57652072e-01
8.40000000e-03 1.55837573e-01
8.60000000e-03 2.09936037e-01
8.80000000e-03 1.68902081e-01
9.00000000e-03 1.81950390e-01
9.20000000e-03 1.64027861e-01
9.40000000e-03 1.56281577e-01
9.60000000e-03 2.41612634e-01
9.80000000e-03 1.73778341e-01
1.00000000e-02 1.41966308e-01
1.02000000e-02 1.42828706e-01
1.04000000e-02 1.79506501e-01
1.06000000e-02 2.08892175e-01
1.08000000e-02 2.11059811e-01
1.10000000e-02 1.75712177e-01
1.12000000e-02 1.62006878e-01
1.14000000e-02 2.44991016e-01
1.16000000e-02 1.76833906e-01
1.18000000e-02 1.72606800e-01
1.20000000e-02 1.48538675e-01
1.22000000e-02 2.11183614e-01
1.24000000e-02 2.01918044e-01
1.26000000e-02 1.91737042e-01
1.28000000e-02 2.23347683e-01
1.30000000e-02 1.83534030e-01
1.32000000e-02 2.18945787e-01
1.34000000e-02 2.26021642e-01
1.36000000e-02 2.39527791e-01
1.38000000e-02 2.43776244e-01
1.40000000e-02 2.63056411e-01
1.42000000e-02 2.37744593e-01
1.44000000e-02 2.74997690e-01
1.46000000e-02 2.21966576e-01
1.48000000e-02 2.05756438e-01
1.50000000e-02 2.61038939e-01
1.52000000e-02 2.61238830e-01
1.54000000e-02 2.38227837e-01
1.56000000e-02 2.53233397e-01
1.58000000e-02 2.15920137e-01
1.60000000e-02 3.03845935e-01
1.62000000e-02 3.03798498e-01
1.64000000e-02 2.77777262e-01
1.66000000e-02 2.67928454e-01
1.68000000e-02 2.77855277e-01
1.70000000e-02 3.01209784e-01
1.72000000e-02 3.11871775e-01
1.74000000e-02 3.40688213e-01
1.76000000e-02 2.70079867e-01
1.78000000e-02 2.88709318e-01
1.80000000e-02 3.12950199e-01
1.82000000e-02 2.84628029e-01
1.84000000e-02 2.67388104e-01
1.86000000e-02 2.82464595e-01
1.88000000e-02 2.79245744e-01
1.90000000e-02 2.83823335e-01
1.92000000e-02 2.45732688e-01
1.94000000e-02 3.11052438e-01
1.96000000e-02 2.90434552e-01
1.98000000e-02 2.68485967e-01
2.00000000e-02 2.54840002e-01
2.02000000e-02 2.63523996e-01
2.04000000e-02 2.98888488e-01
2.06000000e-02 3.69546003e-01
2.08000000e-02 3.13294175e-01
2.10000000e-02 2.63500087e-01
2.12000000e-02 2.86627150e-01
2.14000000e-02 2.80927184e-01
2.16000000e-02 2.90899540e-01
2.18000000e-02 2.37463328e-01
2.20000000e-02 2.61481315e-01
2.22000000e-02 2.96792830e-01
2.24000000e-02 3.01209282e-01
2.26000000e-02 2.90857585e-01
2.28000000e-02 3.18041682e-01
2.30000000e-02 3.13497879e-01
2.32000000e-02 2.99025293e-01
2.34000000e-02 3.10313905e-01
2.36000000e-02 3.08188458e-01
2.38000000e-02 2.81759885e-01
2.40000000e-02 2.64648939e-01
2.42000000e-02 2.99247818e-01
2.44000000e-02 3.23655524e-01
2.46000000e-02 3.25266496e-01
2.48000000e-02 3.47308362e-01
2.50000000e-02 3.22585866e-01
2.52000000e-02 2.71306126e-01
2.54000000e-02 3.23556102e-01
2.56000000e-02 3.07696055e-01
2.58000000e-02 3.29755936e-01
2.60000000e-02 3.23131553e-01
2.62000000e-02 3.53447681e-01
2.64000000e-02 3.37370834e-01
2.66000000e-02 2.86340312e-01
2.68000000e-02 2.90950602e-01
2.70000000e-02 3.04022127e-01
2.72000000e-02 3.41151245e-01
2.74000000e-02 3.40585340e-01
2.76000000e-02 3.11625142e-01
2.78000000e-02 3.15629099e-01
2.80000000e-02 3.46993677e-01
2.82000000e-02 3.68313565e-01
2.84000000e-02 3.56510615e-01
2.86000000e-02 3.67424329e-01
2.88000000e-02 3.06902739e-01
2.90000000e-02 3.11824838e-01
2.92000000e-02 3.06402165e-01
2.94000000e-02 2.77306332e-01
2.96000000e-02 3.06378807e-01
2.98000000e-02 2.84381602e-01
3.00000000e-02 2.70072993e-01
3.02000000e-02 3.32071446e-01
