# strain sxx_GPa syy_GPa szz_GPa
2.00000000e-04 -1.22071670e-02 6.26867063e-02 -5.04930163e-02
4.00000000e-04 -6.78235876e-03 -2.79562133e-03 6.02630668e-03
6.00000000e-04 -4.81841322e-03 -1.88232382e-03 3.08423932e-03
8.00000000e-04 -6.42903785e-03 2.31099812e-03 -1.77442612e-03
1.00000000e-03 1.93214502e-03 -8.43059636e-05 3.97760555e-04
1.20000000e-03 1.73107252e-02 -7.31355670e-04 8.92459047e-04
1.40000000e-03 2.10355561e-02 6.59874598e-04 -5.98370776e-04
1.60000000e-03 2.16662818e-02 1.04110287e-04 -1.08512470e-04
1.80000000e-03 2.74655101e-02 -5.20905275e-04 4.87598557e-04
2.00000000e-03 2.93784134e-02 2.20993424e-04 -3.02153720e-04
2.20000000e-03 3.14341634e-02 1.48628068e-04 -2.46340137e-04
2.40000000e-03 4.60715622e-02 -3.96373702e-04 2.94650527e-04
2.60000000e-03 6.07803355e-02 3.46557083e-05 -1.35438392e-04
2.80000000e-03 7.29641581e-02 1.77718752e-04 -2.74558526e-04
3.00000000e-03 7.36569340e-02 -2.62756430e-04 1.75632120e-04
3.20000000e-03 7.71521511e-02 -6.49564008e-05 1.09988863e-05
3.40000000e-03 8.57762517e-02 1.92356038e-04 -2.10287703e-04
3.60000000e-03 8.78669921e-02 -9.04922710e-05 1.08617704e-04
3.80000000e-03 9.20709410e-02 -8.71799083e-05 1.21013003e-04
4.00000000e-03 9.62077188e-02 1.57160747e-04 -1.27761790e-04
4.20000000e-03 9.98977542e-02 1.57511985e-05 2.50158279e-05
4.40000000e-03 1.03743486e-01 -9.78387090e-05 1.30959214e-04
4.60000000e-03 1.11263208e-01 8.67318607e-05 -6.75678480e-05
4.80000000e-03 1.19100208e-01 3.74415322e-05 -5.25936979e-05
5.00000000e-03 1.21699655e-01 -9.46552896e-05 8.35898074e-05
5.20000000e-03 1.24468913e-01 1.04498608e-05 -3.03193959e-05
5.40000000e-03 1.24111649e-01 5.66019006e-05 -7.86838205e-05
5.60000000e-03 1.25947224e-01 -6.86236979e-05 4.21500054e-05
5.80000000e-03 1.29595762e-01 -3.71797101e-05 2.53575413e-06
6.00000000e-03 1.32948625e-01 5.07874387e-05 -6.49480987e-05
6.20000000e-03 1.46582038e-01 -1.52006509e-05 1.43589508e-05
6.40000000e-03 1.57730858e-01 -3.61209148e-05 3.61697689e-05
6.60000000e-03 1.64525366e-01 3.55664060e-05 -3.21792278e-05
6.80000000e-03 1.67013939e-01 2.09720536e-06 -7.83642997e-06
7.00000000e-03 1.72568330e-01 -2.82289414e-05 2.40222412e-05
7.20000000e-03 1.68626143e-01 3.53528563e-06 -8.46149758e-06
7.40000000e-03 1.69099216e-01 2.30292637e-05 -2.32899889e-05
7.60000000e-03 1.72639917e-01 -7.89153636e-06 1.68342350e-05
7.80000000e-03 1.76075493e-01 -1.66901818e-05 1.28899948e-05
8.00000000e-03 1.84897164e-01 1.36286935e-05 -2.32102013e-05
8.20000000e-03 1.83999999e-01 -8.49463462e-06 -8.95584604e-06
8.40000000e-03 1.91048823e-01 -2.17651530e-05 -1.94969244e-06
8.60000000e-03 2.01300407e-01 -5.91228786e-06 -2.13815331e-05
